Entries [Name,Score,Time]: 33
gege 26 12.23
bryan 28 15.08
gege 20 10.00
cry 45 19.35
end 43 20.94
mow 30 15.25
tes 20 11.27
Icmo 30 13.34
Input 21 16.81
nanges 26 14.20
subuh 59 19.98
tuhan 88 30.98
john 33 22.55
pacm 1 21.35
Input 21 14.44
johns 23 15.79
hehe 28 11.64
Input 1 20.17
full 23 19.81
Input 33 20.45
Input 23 10.09
Input 23 10.49
Input 1 11.57
Input 22 9.82
Input 20 7.43
Input 20 7.84
Input 22 10.27
Input 1 27.30
tests 493 245.67
Input 180 40.71
pac 2 2.00
Inputss 36 21.61
Input 33 19.91
